"","LICENSE NUMBER","PROVIDER NAME","PROVIDER SERVICE TYPE","STREET ADDRESS","CITY","STATE","ZIP","COUNTY","ECC","CCRR","SCHOOL DISTRICT OPERATED PROGRAM","SCHOOL DISTRICT","QUALITY RATING","QUALITY RATING EFFECTIVE DATE","QUALITY RATING EXPIRATION DATE","CCCAP FISCAL AGREEMENT STATUS","CCCAP AUTHORIZATION STATUS","TOTAL LICENSED CAPACITY","LICENSED HOME CAPACITY","LICENSED CENTER INFANT CAPACITY","LICENSED CENTER TODDLER CAPACITY","LICENSED CENTER PRESCHOOL CAPACITY","LICENSED PRESCHOOL AND SCHOOL AGE CAPACITY","LICENSED SCHOOL AGE CAPACITY","LICENSED NYO CAPACITY","LICENSED RESIDENT CAMP CAPACITY","GOVERNING BODY"
"3389","47083","HOLY APOSTLES PARENT COOP PRESCHOOL","Child Care Center","4925 N Carefree CIR","Colorado Springs","CO","80917","El Paso","Alliance for Kids","Alliance for Kids",FALSE,"D-11",4,2023-04-17,2028-08-01,FALSE,FALSE,45,NA,NA,NA,0,45,NA,NA,NA,NA
"3390","84168","MELVIN HENDRICKSON DEVELOPMENTAL CTR","Preschool Program","510 Savage AVE","Lamar","CO","81052","Prowers","Prowers County Roots and Wings","Childrens First",TRUE,"RE-2",2,2025-06-04,2028-06-04,FALSE,FALSE,91,NA,NA,NA,91,0,NA,NA,NA,NA
"3391","41174","FALCON'S NEST","Child Care Center","786 26 1/2 RD","Grand Junction","CO","81506","Mesa","Mesa County Partnership for Children & Families","Hilltop/Western Colorado",FALSE,NA,2,2023-11-16,2027-09-30,FALSE,FALSE,150,NA,NA,NA,0,150,NA,NA,NA,NA
"3392","26432","CRYSTAL RIVER ELEMENTARY EARLY CHILDHOOD CENT","Child Care Center","160 Snowmass DR","Carbondale","CO","81623","Garfield","Rocky Mountain Early Childhood Council","Mountain Valley Developmental Svcs",TRUE,"Roaring Fork School District RE 1",3,2024-04-30,2027-09-30,TRUE,TRUE,90,0,0,10,0,80,0,0,0,NA
"3393","1543986","Gloria Bornhoft Bergner","Large Family Child Care Home",NA,"Holyoke","CO","80734","Phillips","Early Childhood Council of Logan, Phillips, and Sedgwick Counties","ECC Logan, Phillips, Sedgewick",FALSE,NA,2,2024-12-19,2027-12-19,TRUE,FALSE,12,12,0,0,NA,NA,0,0,0,NA
"3394","62200","TAMBRA MILLEN","3 under 18 Months Family Child Care Home",NA,"Centennial","CO","80015","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",FALSE,"ADAMS-ARAPAHOE 28J",1,NA,NA,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"3395","1523194","Valerie Martinez","Family Child Care Home",NA,"MANZANOLA","CO","81058","Otero","Early Childhood Council of Bent, Otero and Crowley Counties","Childrens First",FALSE,"RE3",1,NA,NA,TRUE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"3396","86413","CARLSON EARLY CHILDHOOD PROGRAM","Child Care Center","320 Chicago Creek Road","Idaho Springs","CO","80452","Clear Creek","Triad Early Childhood Council","Child Care Innovations",TRUE,"Clear Creek School District",1,NA,NA,TRUE,TRUE,50,NA,NA,NA,0,50,NA,NA,NA,"Heidi Lupinacci, Clear Creek School District Early Learning Coordinator, Dir. of Carlson ECP"
"3397","24445","Alina King","Experienced Family Child Care Home",NA,"New Castle","CO","81647","Garfield","Rocky Mountain Early Childhood Council","Mountain Valley Developmental Svcs",FALSE,"RE 2",1,NA,NA,TRUE,FALSE,9,9,0,0,NA,NA,0,0,0,NA
"3398","78306","St. Andrew Preschool","Child Care Center","9203 S University BLVD","Highlands Ranch","CO","80126","Douglas","Douglas County Early Childhood Council","Child Care Innovations",FALSE,"Douglas County School District",2,2024-02-29,2027-09-30,TRUE,FALSE,138,0,0,26,0,112,0,0,0,NA
