"","LICENSE NUMBER","PROVIDER NAME","PROVIDER SERVICE TYPE","STREET ADDRESS","CITY","STATE","ZIP","COUNTY","ECC","CCRR","SCHOOL DISTRICT OPERATED PROGRAM","SCHOOL DISTRICT","QUALITY RATING","QUALITY RATING EFFECTIVE DATE","QUALITY RATING EXPIRATION DATE","CCCAP FISCAL AGREEMENT STATUS","CCCAP AUTHORIZATION STATUS","TOTAL LICENSED CAPACITY","LICENSED HOME CAPACITY","LICENSED CENTER INFANT CAPACITY","LICENSED CENTER TODDLER CAPACITY","LICENSED CENTER PRESCHOOL CAPACITY","LICENSED PRESCHOOL AND SCHOOL AGE CAPACITY","LICENSED SCHOOL AGE CAPACITY","LICENSED NYO CAPACITY","LICENSED RESIDENT CAMP CAPACITY","GOVERNING BODY"
"1264","1777329","Reyna Aguilar","Family Child Care Home",NA,"Firestone","CO","80504","Weld","Weld County’s Early Childhood Council","Promises for Children",FALSE,"ST VRAIN VALLEY RE 1J",2,2025-01-22,2028-01-22,TRUE,TRUE,6,6,0,0,NA,NA,0,0,0,NA
"1265","1777441","Veronica Duran","Large Family Child Care Home",NA,"Aurora","CO","80018","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",FALSE,"Arapahoe",2,2024-09-25,2027-09-25,TRUE,TRUE,12,12,0,0,NA,NA,0,0,0,NA
"1266","1777328","Katrina Wascher","Large Family Child Care Home",NA,"Windsor","CO","80550","Weld","Weld County’s Early Childhood Council","Promises for Children",FALSE,"WINDSOR RE-4",1,NA,NA,FALSE,FALSE,12,12,0,0,NA,NA,0,0,0,NA
"1267","1776975","Mobile L.A.B.- Learning Adventures Bus","Child Care Center","11150 Pine Meadows Road","Colorado Springs","CO","80908","El Paso","Alliance for Kids","Alliance for Kids",FALSE,NA,1,NA,NA,FALSE,FALSE,8,NA,NA,NA,0,8,NA,NA,NA,"Tamara L. Wineland DBA AdventureMe"
"1268","1777177","Sarah Del Rosario","Family Child Care Home",NA,"Broomfield","CO","80020","Broomfield","Broomfield Early Childhood Council","Child Care Innovations",FALSE,"ADAMS 12 FIVE STAR SCHOOLS",1,NA,NA,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"1269","1777333","Natasha Rodriguez","Family Child Care Home",NA,"Colorado Springs","CO","80927","El Paso","Alliance for Kids","Alliance for Kids",FALSE,"D 49",2,2024-12-02,2027-12-02,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"1270","1777101","The Nest Schools","Child Care Center","900 E. 1st Ave","Broomfield,","CO","80020","Broomfield","Broomfield Early Childhood Council","Child Care Innovations",FALSE,"BOULDER VALLEY RE 2",2,2025-07-28,2028-07-28,FALSE,FALSE,141,0,20,37,0,84,0,0,0,"Beth Mattox"
"1271","1777191","Little Adventures Child Care Center","Child Care Center","51027 Highway 6 and 24","Glenwood Springs","CO","81601","Garfield","Rocky Mountain Early Childhood Council","Mountain Valley Developmental Svcs",FALSE,"ROARING FORK RE-1",2,2024-12-24,2027-12-24,TRUE,TRUE,66,0,20,30,0,16,0,0,0,"Jennifer Knott"
"1272","1777331","Isabelle Blackwell","Family Child Care Home",NA,"Arvada","CO","80004","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"JEFFERSON COUNTY R-1",1,NA,NA,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"1273","1777248","The Learning Experience","Child Care Center","10935 Colorado Blvd","Firestone","CO","80504","Weld","Weld County’s Early Childhood Council","Promises for Children",FALSE,NA,2,2024-03-01,2027-09-30,TRUE,TRUE,146,0,20,34,0,92,0,0,0,"Melissa Berg"
"1274","1777538","Karter School of Thornton","Child Care Center","4155 E. 128th Ave","Thornton","CO","80241","Adams","Early Childhood Partnership of Adams County","Child Care Innovations",FALSE,"Adams 12",2,2024-07-29,2027-07-29,FALSE,FALSE,261,0,20,70,0,171,0,0,0,"Karter School of Thornton LLC"
"1275","1777245","Blue Lake Preschool - Stotts Mill","Child Care Center","805 Centennial Lane","Basalt","CO","81621","Pitkin","Rocky Mountain Early Childhood Council","Mountain Valley Developmental Svcs",FALSE,NA,2,2024-11-12,2027-11-12,TRUE,TRUE,50,0,8,24,0,18,0,0,0,"Board of Directors"
"1276","1777269","The Lighthouse Early Care and Education","Child Care Center","1520 Verde Dr.","Colorado Springs","CO","80910","El Paso","Alliance for Kids","Alliance for Kids",FALSE,"HARRISON D-2",3,2025-09-30,2028-09-30,TRUE,TRUE,101,0,0,14,0,87,0,0,0,"Jackie Lujan"
"1277","1777326","Lotus School For Excellence","School-Age Child Care Center","11001 E Alameda Ave","Aurora","CO","80012","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",FALSE,"Aurora Public schools",NA,NA,NA,TRUE,TRUE,90,0,0,0,NA,NA,90,0,0,"Lotus School For Excellence"
"1278","1777400","Nayelly Morales","Large Family Child Care Home",NA,"Evans","CO","80620","Weld","Weld County’s Early Childhood Council","Promises for Children",FALSE,"GREELEY 6",2,2024-02-28,2027-09-30,TRUE,TRUE,12,12,0,0,NA,NA,0,0,0,NA
"1279","1779836","Aneesah Carter","Family Child Care Home",NA,"Denver","CO","80249","Denver","Denver's Early Childhood Council","Denver's ECC",FALSE,"DENVER COUNTY 1",1,NA,NA,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"1280","1777633","Mama Bear Children Center","Child Care Center","10700 E Iliff Ave","Aurora","CO","80014","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",FALSE,"CHERRY CREEK  SCHOOL DISTRICT",2,2024-05-06,2027-09-30,TRUE,TRUE,93,0,18,20,0,55,0,0,0,"Owner/ Ella Khalil"
"1281","1787629","Jennyfer Pieron","Family Child Care Home",NA,"Parker","CO","80134","Douglas","Douglas County Early Childhood Council","Child Care Innovations",FALSE,"Douglas County School District",1,NA,NA,TRUE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"1282","1778045","Christina Hausner","Large Family Child Care Home",NA,"Grand Junction","CO","81504","Mesa","Mesa County Partnership for Children & Families","Hilltop/Western Colorado",FALSE,"MESA COUNTY VALLEY 51",2,2024-06-24,2027-09-30,TRUE,TRUE,12,12,0,0,NA,NA,0,0,0,NA
"1283","1779142","Camp Indigo","School-Age Child Care Center","5465 Pennsylvania Ave","Boulder","CO","80303","Boulder","Early Childhood Council of Boulder County","ECC Boulder Co",FALSE,NA,NA,NA,NA,FALSE,FALSE,115,0,0,0,NA,NA,115,0,0,"The Whole Human Project"
"1284","1781480","Stepping Stones Early Learning Center","Child Care Center","2899 Holly Ave","Durango","CO","81301","La Plata","Early Childhood Council of La Plata County","ECC La Plata Co",FALSE,"DURANGO 9-R",2,2024-11-07,2027-11-07,TRUE,FALSE,49,0,5,24,20,0,0,0,0,"Shabau Milliano"
"1285","1777989","Karla Velazquez","Large Family Child Care Home",NA,"Fort Morgan","CO","80701","Morgan","Morgan County  Partnership for Children and Families","Morgan County Partnership",FALSE,"FORT MORGAN RE-3",4,2025-10-31,2028-10-31,TRUE,TRUE,12,12,0,0,NA,NA,0,0,0,NA
"1286","1778120","rawan ayoub","Family Child Care Home",NA,"commerce city","CO","80640","Adams","Early Childhood Partnership of Adams County","Child Care Innovations",FALSE,"BRIGHTON 27J",2,2024-02-20,2027-09-30,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"1287","1778016","Sara Ayoub-Sawaged","Family Child Care Home",NA,"Castle Rock","CO","80104","Douglas","Douglas County Early Childhood Council","Child Care Innovations",FALSE,"Douglas County School District",1,NA,NA,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"1288","1778516","Fort Collins KinderCare","Child Care Center","635 S Grant","Fort Collins","CO","80521","Larimer","Early Childhood Council of Larimer County","ECC of Larimer County",FALSE,NA,1,NA,NA,TRUE,TRUE,83,0,0,23,0,60,0,0,0,"KinderCare Education LLC"
"1289","1778686","Greeley KinderCare","Child Care Center","6700 29th Street Road","Greeley","CO","80634","Weld","Weld County’s Early Childhood Council","Promises for Children",FALSE,"Greeley District 6",1,NA,NA,TRUE,TRUE,109,0,0,24,0,85,0,0,0,"KinderCare Education LLC"
"1290","1778691","Loveland KinderCare","Child Care Center","1425 Diana Dr","Loveland","CO","80537","Larimer","Early Childhood Council of Larimer County","ECC of Larimer County",FALSE,NA,4,2025-10-03,2030-01-01,TRUE,TRUE,74,0,10,14,0,50,0,0,0,"KinderCare Education LLC"
"1291","1778692","Horseshoe Lake KinderCare","Child Care Center","4601 Sunview Dr.","Loveland","CO","80538","Larimer","Early Childhood Council of Larimer County","ECC of Larimer County",FALSE,NA,1,NA,NA,TRUE,TRUE,113,0,10,33,0,70,0,0,0,"KinderCare Education LLC"
"1292","1778283","Silverplume KinderCare","Child Care Center","2822 Silverplume Drive","Fort Collins","CO","80526","Larimer","Early Childhood Council of Larimer County","ECC of Larimer County",FALSE,"Poudre School District",1,NA,NA,TRUE,TRUE,61,0,0,13,0,48,0,0,0,"KinderCare Education LLC"
"1293","1778471","Mountain Sprouts Academy","Child Care Center","760 Copper Road","Copper Mountain","CO","80443","Summit","Summit County Early Childhood Learning Council","Early Childhood Options",FALSE,NA,4,2025-09-30,2028-09-30,TRUE,TRUE,45,0,6,10,29,0,0,0,0,"Copper Community Childcare Center"
"1294","1780558","Camp Galileo - Littleton","School-Age Child Care Center","5354 S Field St.","Littleton","CO","80123","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"Jefferson County Public School",NA,NA,NA,FALSE,FALSE,60,0,0,0,NA,NA,60,0,0,"Galileo Learning"
"1295","1778687","Spring Park KinderCare","Child Care Center","1900 Remington","Fort Collins","CO","80525","Larimer","Early Childhood Council of Larimer County","ECC of Larimer County",FALSE,NA,1,NA,NA,TRUE,TRUE,143,0,19,41,0,83,0,0,0,"KinderCare Education LLC"
"1296","1778070","Maria Rivera","Family Child Care Home",NA,"Greeley","CO","80631","Weld","Weld County’s Early Childhood Council","Promises for Children",FALSE,"School District 6 (Greeley, Evans)",1,NA,NA,TRUE,TRUE,6,6,0,0,NA,NA,0,0,0,NA
"1297","1778448","Kim Seganakis","Family Child Care Home",NA,"Elizabeth","CO","80107","Elbert","Elbert County Early Childhood Council","Alliance for Kids",FALSE,"ELBERT 200",1,NA,NA,TRUE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"1298","1778219","Monique Brooks","Large Family Child Care Home",NA,"Pueblo West","CO","81007","Pueblo","Pueblo Early Childhood Council","Childrens First",FALSE,NA,1,NA,NA,TRUE,TRUE,12,12,0,0,NA,NA,0,0,0,NA
"1299","1780146","Life Time Kids Camps","School-Age Child Care Center","3501 Clear Creek Dr.","Wheatridge","CO","80401","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"JEFFERSON COUNTY R-1",NA,NA,NA,FALSE,FALSE,150,0,0,0,NA,NA,150,0,0,"LTF Club Operations Company, INC."
"1300","1779120","Tong Li","Large Family Child Care Home",NA,"Colorado Springs","CO","80908","El Paso","Alliance for Kids","Alliance for Kids",FALSE,"ACADEMY 20",1,NA,NA,FALSE,FALSE,12,12,0,0,NA,NA,0,0,0,NA
"1301","1779250","Linda Kopchala King","Large Family Child Care Home",NA,"Severance","CO","80550","Weld","Weld County’s Early Childhood Council","Promises for Children",FALSE,"WINDSOR RE-4",1,NA,NA,FALSE,FALSE,12,12,0,0,NA,NA,0,0,0,NA
"1302","1778472","Kafayat Rasheed","Large Family Child Care Home",NA,"Aurora","CO","80018","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",FALSE,"ADAMS-ARAPAHOE 28J",2,2024-11-18,2027-11-18,TRUE,FALSE,12,12,0,0,NA,NA,0,0,0,NA
"1303","1790966","Cayla Bradshaw","Experienced Family Child Care Home",NA,"Durango","CO","81303","La Plata","Early Childhood Council of La Plata County","ECC La Plata Co",FALSE,"DURANGO 9-R",2,2025-11-03,2028-11-03,TRUE,FALSE,9,9,0,0,NA,NA,0,0,0,NA
"1304","1778564","The Learning Experience","Child Care Center","12215 Pardee St.","Parker","CO","80134","Douglas","Douglas County Early Childhood Council","Child Care Innovations",FALSE,"Douglas County School District",1,NA,NA,TRUE,TRUE,148,0,20,44,0,84,0,0,0,"Rohit Ranjan"
"1305","1778470","Margaret Gonzales","Family Child Care Home",NA,"Johnstown","CO","80534","Weld","Weld County’s Early Childhood Council","Promises for Children",FALSE,"WELD COUNTY RE-1",1,NA,NA,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"1306","1781656","Little Sunshine's Playhouse and Preschool","Child Care Center","4755 Freshwater Point","Colorado Springs","CO","80924","El Paso","Alliance for Kids","Alliance for Kids",FALSE,NA,1,NA,NA,FALSE,FALSE,144,0,30,46,68,0,0,0,0,"LSP Colorado Springs at Briargate, LLC"
"1307","1778558","Brenda Fowles","Family Child Care Home",NA,"Sterling","CO","80751","Logan","Early Childhood Council of Logan, Phillips, and Sedgwick Counties","ECC Logan, Phillips, Sedgewick",FALSE,"VALLEY RE-1",1,NA,NA,TRUE,TRUE,6,6,0,0,NA,NA,0,0,0,NA
"1308","1779267","Gulnaz Yosifov","Family Child Care Home",NA,"Aurora","CO","80015","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",FALSE,"CHERRY CREEK 5",2,2025-05-09,2028-05-09,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,"Red Cat Learning Center LLC"
"1309","1778831","Lisa Zeman","Family Child Care Home",NA,"Elizabeth","CO","80107","Elbert","Elbert County Early Childhood Council","Alliance for Kids",FALSE,"ELIZABETH C-1",1,NA,NA,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"1310","1780472","The Nature Connection (Hotchkiss)","School-Age Child Care Center","397 Miners Way","Hotchkiss","CO","81419","Delta","Bright Futures","Bright Futures",TRUE,"DELTA COUNTY 50(J)",NA,NA,NA,FALSE,FALSE,25,0,0,0,NA,NA,25,0,0,"Delta County School District"
"1311","1778888","Casey Goldstein","Family Child Care Home",NA,"Northglenn","CO","80234","Adams","Early Childhood Partnership of Adams County","Child Care Innovations",FALSE,"ADAMS 12 FIVE STAR SCHOOLS",1,NA,NA,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"1312","1778943","The Learning Experience","Child Care Center","1144 Lake Avenue","Berthoud","CO","80513","Larimer","Early Childhood Council of Larimer County","ECC of Larimer County",FALSE,NA,2,2025-07-01,2028-07-01,TRUE,TRUE,155,0,20,51,0,84,0,0,0,"Kenneth Deon"
"1313","1778800","Montessori Children's House Denver","Child Care Center","2600 Leyden St","Denver","CO","80207","Denver","Denver's Early Childhood Council","Denver's ECC",FALSE,NA,4,2024-09-20,2028-02-01,FALSE,FALSE,62,0,0,20,0,42,0,0,0,NA
"1314","1779166","Gabrielle Bynes","Family Child Care Home",NA,"Denver","CO","80207","Denver","Denver's Early Childhood Council","Denver's ECC",FALSE,"DENVER COUNTY 1",1,NA,NA,TRUE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"1315","1778896","Ivy Camps USA","Child Care Center","4727 Coach House Drive","Colorado Springs","CO","80920","El Paso","Alliance for Kids","Alliance for Kids",FALSE,"Academy D-20",1,NA,NA,FALSE,FALSE,15,NA,NA,NA,0,15,NA,NA,NA,"Ivy Camps USA, Inc."
"1316","1779194","Grand Kids Learning Center","Child Care Center","43 10 Mile Drive","Granby","CO","80446","Grand","Grand and Jackson Early Childhood Council","Summit Co CCR&R Agency",FALSE,NA,5,2025-08-31,2028-08-31,TRUE,TRUE,41,0,8,9,0,24,0,0,0,"Grand Kids Learning Center"
"1317","1779165","Brenda Montoya","Large Family Child Care Home",NA,"Firestone","CO","80504","Weld","Weld County’s Early Childhood Council","Promises for Children",FALSE,"ST VRAIN VALLEY RE 1J",1,NA,NA,TRUE,FALSE,12,12,0,0,NA,NA,0,0,0,NA
"1318","1778997","Montessori Children's House Denver","Child Care Center","2211 Xanthia Way","Denver","CO","80238","Denver","Denver's Early Childhood Council","Denver's ECC",FALSE,NA,4,2024-09-20,2028-02-01,FALSE,FALSE,140,0,0,20,0,120,0,0,0,NA
"1319","1778999","Montessori Children's House Denver","Child Care Center","1467 Birch St","Denver","CO","80220","Denver","Denver's Early Childhood Council","Denver's ECC",FALSE,NA,4,2024-09-20,2028-02-01,FALSE,FALSE,56,0,0,10,0,46,0,0,0,NA
"1320","1781618","Wee School","Child Care Center","690 Briggs St","Erie","CO","80516","Weld","Weld County’s Early Childhood Council","Promises for Children",FALSE,"School District RE1J (St Vrain)",1,NA,NA,FALSE,FALSE,36,NA,NA,NA,0,36,NA,NA,NA,"Natalia Smith"
"1321","1779061","The Learning Experience Fort Collins","Child Care Center","4775 Boardwalk dr","Fort Collins","CO","80525","Larimer","Early Childhood Council of Larimer County","ECC of Larimer County",FALSE,"POUDRE R-1",1,NA,NA,TRUE,TRUE,143,0,20,48,0,75,0,0,0,"DDB Corp. LLC"
"1322","1779052","Elaine's Place","Child Care Center","894 Blackbear Road","Telluride","CO","81435","San Miguel","Bright Futures","Bright Futures",FALSE,NA,2,2024-09-13,2027-09-13,TRUE,TRUE,14,0,0,14,NA,NA,0,0,0,"Town of Telluride & Leah Roman"
"1323","1780451","Mountain Top Children's Museum","School-Age Child Care Center","1200 Airport Rd","Breckenridge","CO","80424","Summit","Summit County Early Childhood Learning Council","Early Childhood Options",FALSE,"SUMMIT RE-1",NA,NA,NA,FALSE,FALSE,30,0,0,0,NA,NA,30,0,0,"Mountain Top Explorium"
"1324","1779160","Wizardry Summer Day Camp","School-Age Child Care Center","690 Colorado Blvd.","Denver","CO","80206","Denver","Denver's Early Childhood Council","Denver's ECC",FALSE,NA,NA,NA,NA,FALSE,FALSE,40,0,0,0,NA,NA,40,0,0,"Jane Hile"
"1325","1783783","Foundation Lutheran Preschool","Child Care Center","9960 Towner Ave","Peyton","CO","80831","El Paso","Alliance for Kids","Alliance for Kids",FALSE,"FALCON 49",1,NA,NA,FALSE,FALSE,30,NA,NA,NA,30,0,NA,NA,NA,"Foundation Lutheran Church"
"1326","1779314","James C. Kennedy Mountain Campus","Resident Camp","17900 West County Road 74E","Red Feather Lakes","CO","80545","Larimer","Early Childhood Council of Larimer County","ECC of Larimer County",FALSE,NA,NA,NA,NA,FALSE,FALSE,25,0,0,0,NA,NA,0,0,25,"University of Denver"
"1327","1779715","Cactus Bloom Community School","Child Care Center","631 26 1/2 Road","Grand Junction","CO","81506","Mesa","Mesa County Partnership for Children & Families","Hilltop/Western Colorado",TRUE,"CHARTER SCHOOL INSTITUTE",2,2025-05-22,2028-05-22,TRUE,TRUE,30,NA,NA,NA,0,30,NA,NA,NA,"Wildflower Montessori Public Schools of Colorado"
"1328","1779533","Weld Family Cares ECE","Child Care Center","4754 W 31st St.","Greeley","CO","80634","Weld","Weld County’s Early Childhood Council","Promises for Children",FALSE,NA,2,2024-10-18,2027-10-18,TRUE,TRUE,40,0,10,10,0,20,0,0,0,"Christy Sickler"
"1329","1780248","Goddard School","Child Care Center","4203 E 136th Avenue","THORNTON","CO","80602","Adams","Early Childhood Partnership of Adams County","Child Care Innovations",FALSE,"Adams 12",2,2025-11-14,2028-11-14,TRUE,TRUE,132,0,10,34,0,88,0,0,0,"American Capital Investments Corp"
"1330","1779570","Deane Preschool","Child Care Center","580 S Harlan Street","Lakewood","CO","80226","Jefferson","Triad Early Childhood Council","Child Care Innovations",TRUE,"Jefferson County Public School",4,2024-08-23,2027-09-30,TRUE,TRUE,20,NA,NA,NA,0,20,NA,NA,NA,"Jeffco Public Schools"
"1331","1779574","Curious Minds","Child Care Center","3533 Riva Ridge Drive","Fort Collins","CO","80526","Larimer","Early Childhood Council of Larimer County","ECC of Larimer County",FALSE,NA,1,NA,NA,FALSE,FALSE,52,0,0,16,0,36,0,0,0,"Curious Minds LLC"
"1332","1779579","Mile High Early Learning @ United Way","Child Care Center","711 Park Avenue West","Denver","CO","80205","Denver","Denver's Early Childhood Council","Denver's ECC",FALSE,"DENVER COUNTY 1",4,2024-04-26,2028-06-30,TRUE,TRUE,56,0,16,20,20,0,0,0,0,"Mile High Early Learning"
"1333","1781472","YMCA Camp Lake Tumbleson","Resident Camp","173 County Road 96","Ward","CO","80481","Boulder","Early Childhood Council of Boulder County","ECC Boulder Co",FALSE,NA,NA,NA,NA,FALSE,FALSE,350,0,0,0,NA,NA,0,0,350,"YMCA of Northern Colorado"
"1334","1779844","RAJNI SINGH","Family Child Care Home",NA,"Littleton","CO","80125","Douglas","Douglas County Early Childhood Council","Child Care Innovations",FALSE,"Douglas County School District",1,NA,NA,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"1335","1779854","Elizabeth Nalvarte","Family Child Care Home",NA,"Centennial","CO","80015-3663","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",FALSE,"CHERRY CREEK 5",1,NA,NA,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"1336","1779599","Zoyla Aragon","Large Family Child Care Home",NA,"Greeley","CO","80631","Weld","Weld County’s Early Childhood Council","Promises for Children",FALSE,"School District 6 (Greeley, Evans)",2,2025-12-01,2028-12-01,FALSE,FALSE,12,12,0,0,NA,NA,0,0,0,NA
"1337","1779609","Shaelyn Arney","Family Child Care Home",NA,"Severance","CO","80550","Weld","Weld County’s Early Childhood Council","Promises for Children",FALSE,NA,2,2024-11-26,2027-11-26,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"1338","1779773","Leman Academy of Excellence Prek at Bayou","Preschool Program","6405 Estancia Blvd.","Parker","CO","80134","Douglas","Douglas County Early Childhood Council","Child Care Innovations",FALSE,"Douglas County School District",1,NA,NA,FALSE,FALSE,48,NA,NA,NA,0,48,NA,NA,NA,"Leman Academy of Excellence, Janea Lynch"
"1339","1780046","Tunisha Burton","Family Child Care Home",NA,"Denver","CO","80220","Denver","Denver's Early Childhood Council","Denver's ECC",FALSE,"DENVER COUNTY 1",2,2026-01-05,2029-01-05,TRUE,TRUE,6,6,0,0,NA,NA,0,0,0,"Tunisha L Burton"
"1340","1779795","Connect Care","Child Care Center","925 Green Way 107 and 108","Gypsum","CO","81637","Eagle","Rocky Mountain Early Childhood Council","Mountain Valley Developmental Svcs",FALSE,"EAGLE COUNTY RE 50",2,2025-01-02,2028-01-02,TRUE,TRUE,54,0,10,24,0,20,0,0,0,"Connect Care"
"1341","1779901","Jacklyn Burrington","Family Child Care Home",NA,"Loveland","CO","80537","Larimer","Early Childhood Council of Larimer County","ECC of Larimer County",FALSE,"THOMPSON R-2J",1,NA,NA,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"1342","1779831","Katherine Kusch","Family Child Care Home",NA,"Evans","CO","80620","Weld","Weld County’s Early Childhood Council","Promises for Children",FALSE,NA,2,2025-03-10,2028-03-10,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"1343","1779946","Summer at Kent Denver School","School-Age Child Care Center","4000 East Quincy Ave","Englewood","CO","80113","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",FALSE,"CHERRY CREEK 5",NA,NA,NA,FALSE,FALSE,720,0,0,0,NA,NA,720,0,0,NA
"1344","1780068","Inspire Preschool @ Boulder YMCA","Child Care Center","2850 Mapleton Ave","Boulder","CO","80301","Boulder","Early Childhood Council of Boulder County","ECC Boulder Co",FALSE,"BOULDER VALLEY RE 2",2,2025-12-15,2028-12-15,TRUE,TRUE,101,0,8,25,0,68,0,0,0,"YMCA of Northern Colorado"
"1345","1780158","Michelle Scott","Family Child Care Home",NA,"Aurora","CO","80010","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",FALSE,"ADAMS-ARAPAHOE 28J",1,NA,NA,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"1346","1780109","Camp Rocky","Resident Camp","709 Co Rd 62","Divide","CO","80814","Teller","Teller/Park Early Childhood Council","Alliance for Kids",FALSE,NA,NA,NA,NA,FALSE,FALSE,24,0,0,0,NA,NA,0,0,24,"Colorado Association of Conservation Districts"
"1347","1780082","KCE Champions LLC @ CC CO School of Mines","School-Age Child Care Center","1500 Illinois Street","Golden","CO","80401","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"Jefferson County Public School",NA,NA,NA,FALSE,FALSE,70,0,0,0,NA,NA,70,0,0,"Crystal Smith"
"1348","1780538","April Banks","Large Family Child Care Home",NA,"Longmont","CO","80504","Boulder","Early Childhood Council of Boulder County","ECC Boulder Co",FALSE,"ST VRAIN VALLEY RE 1J",1,NA,NA,FALSE,FALSE,12,12,0,0,NA,NA,0,0,0,NA
"1349","1781634","Thinkering Lab","School-Age Child Care Center","317 East Kiowa Street","Colorado Springs","CO","80907","El Paso","Alliance for Kids","Alliance for Kids",FALSE,"COLORADO SPRINGS 11",NA,NA,NA,FALSE,FALSE,8,0,0,0,NA,NA,8,0,0,"Thinkering Lab"
"1350","1780666","Go West Camps","Resident Camp","11200 County Road 251-1","Salida","CO","81201","Chaffee","Chaffee County Early Childhood Council","Childrens First",FALSE,"SALIDA R-32",NA,NA,NA,FALSE,FALSE,40,0,0,0,NA,NA,0,0,40,"Go West Camps"
"1351","1781592","Emily Thrutchley","Large Family Child Care Home",NA,"Greeley","CO","80631","Weld","Weld County’s Early Childhood Council","Promises for Children",FALSE,"GREELEY 6",2,2025-01-31,2028-01-31,FALSE,FALSE,12,12,0,0,NA,NA,0,0,0,NA
"1352","1780756","Asma Nausheen","Family Child Care Home",NA,"Aurora","CO","80016","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",FALSE,"CHERRY CREEK 5",1,NA,NA,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"1353","1780378","University Prep - Commerce City","Preschool Program","6201 Holly St.","Commerce City","CO","80022","Adams","Early Childhood Partnership of Adams County","Child Care Innovations",FALSE,"ADAMS COUNTY 14",2,2024-11-13,2027-11-13,TRUE,FALSE,24,NA,NA,NA,24,0,NA,NA,NA,"University Preparatory Schools"
"1354","1780246","The Nature Connection","Resident Camp","397 Bulldog Street","Hotchkiss","CO","81419","Delta","Bright Futures","Bright Futures",TRUE,"DELTA COUNTY 50(J)",NA,NA,NA,FALSE,FALSE,15,0,0,0,NA,NA,0,0,15,"Delta County School District"
"1355","1780623","Orchard Hill Elementary Preschool","Preschool Program","2015 Covered Bridge Parkway","Windsor","CO","80550","Weld","Weld County’s Early Childhood Council","Promises for Children",TRUE,"WINDSOR RE-4",2,2024-12-11,2027-12-11,FALSE,FALSE,40,NA,NA,NA,0,40,NA,NA,NA,"Windsor Re-4"
"1356","1780281","YMCA Metro Denver @ Wheatlands","School-Age Child Care Center","6100 S Kewaunee Way","Aurora","CO","80016","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",FALSE,NA,NA,NA,NA,TRUE,FALSE,45,0,0,0,NA,NA,45,0,0,"Sydney Gonzales"
"1357","1781057","Jordan Lovelace","Large Family Child Care Home",NA,"Grand Junction","CO","81501","Mesa","Mesa County Partnership for Children & Families","Hilltop/Western Colorado",FALSE,"MESA COUNTY VALLEY 51",2,2025-02-28,2028-02-28,TRUE,FALSE,12,12,0,0,NA,NA,0,0,0,NA
"1358","1780287","Right At School At Ascent of Northern Denver","School-Age Child Care Center","5061 East 160th Avenue","Brighton","CO","80602","Adams","Early Childhood Partnership of Adams County","Child Care Innovations",FALSE,"Adams 27J",NA,NA,NA,TRUE,FALSE,30,0,0,0,NA,NA,30,0,0,"Right At School LLC"
"1359","1780760","Cristina Ribeiro Ponticelli","Family Child Care Home",NA,"Erie","CO","80516","Boulder","Early Childhood Council of Boulder County","ECC Boulder Co",FALSE,"ST VRAIN VALLEY RE 1J",1,NA,NA,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
